id,name,ec,gene,organism,uniprot
enz_ec_1_2_1_19,EC 1.2.1.19,1.2.1.19,,,
enz_ec_1_2_1_21,EC 1.2.1.21,1.2.1.21,,,
enz_ec_1_2_1_3,EC 1.2.1.3,1.2.1.3,,,
enz_ec_1_2_1_4,EC 1.2.1.4,1.2.1.4,,,
enz_ec_1_2_1_5,EC 1.2.1.5,1.2.1.5,,,
enz_ec_1_2_1_69,EC 1.2.1.69,1.2.1.69,,,
enz_ec_2_1_2_10,EC 2.1.2.10,2.1.2.10,,,
enz_ec_1_6_2_6,EC 1.6.2.6,1.6.2.6,,,
enz_ec_1_8_1_4,EC 1.8.1.4,1.8.1.4,,,
enz_ec_1_2_1_54,EC 1.2.1.54,1.2.1.54,,,
enz_ec_3_5_1_94,EC 3.5.1.94,3.5.1.94,,,
enz_ec_2_7_1_1,EC 2.7.1.1,2.7.1.1,,,
enz_ec_2_7_1_15,EC 2.7.1.15,2.7.1.15,,,
enz_ec_2_7_1_2,EC 2.7.1.2,2.7.1.2,,,
enz_ec_1_2_1_22,EC 1.2.1.22,1.2.1.22,,,
enz_ec_1_2_1_89,EC 1.2.1.89,1.2.1.89,,,
enz_ec_1_1_1_26,EC 1.1.1.26,1.1.1.26,,,
enz_ec_1_1_1_27,EC 1.1.1.27,1.1.1.27,,,
enz_ec_1_1_1_28,EC 1.1.1.28,1.1.1.28,,,
enz_ec_1_1_1_29,EC 1.1.1.29,1.1.1.29,,,
enz_ec_1_1_1_291,EC 1.1.1.291,1.1.1.291,,,
enz_ec_1_1_1_387,EC 1.1.1.387,1.1.1.387,,,
enz_ec_1_1_1_79,EC 1.1.1.79,1.1.1.79,,,
enz_ec_1_1_1_81,EC 1.1.1.81,1.1.1.81,,,
enz_ec_1_1_1_86,EC 1.1.1.86,1.1.1.86,,,
enz_ec_2_7_1_31,EC 2.7.1.31,2.7.1.31,,,
enz_ec_2_7_1_165,EC 2.7.1.165,2.7.1.165,,,
enz_ec_3_1_3_2,EC 3.1.3.2,3.1.3.2,,,
enz_ec_3_1_3_20,EC 3.1.3.20,3.1.3.20,,,
enz_ec_1_1_1_21,EC 1.1.1.21,1.1.1.21,,,
enz_ec_1_1_1_8,EC 1.1.1.8,1.1.1.8,,,
enz_ec_1_1_99_14,EC 1.1.99.14,1.1.99.14,,,
enz_ec_1_1_3_15,EC 1.1.3.15,1.1.3.15,,,
enz_ec_4_2_1_130,EC 4.2.1.130,4.2.1.130,,,
enz_ec_3_4_13_18,EC 3.4.13.18,3.4.13.18,,,
enz_ec_3_4_13_9,EC 3.4.13.9,3.4.13.9,,,
enz_ec_1_1_1_343,EC 1.1.1.343,1.1.1.343,,,
enz_ec_1_1_1_351,EC 1.1.1.351,1.1.1.351,,,
enz_ec_1_1_1_44,EC 1.1.1.44,1.1.1.44,,,
enz_ec_3_1_4_2,EC 3.1.4.2,3.1.4.2,,,
enz_ec_3_1_4_46,EC 3.1.4.46,3.1.4.46,,,
enz_ec_3_5_3_17,EC 3.5.3.17,3.5.3.17,,,
enz_ec_3_5_3_7,EC 3.5.3.7,3.5.3.7,,,
enz_ec_1_1_1_31,EC 1.1.1.31,1.1.1.31,,,
enz_ec_1_1_1_35,EC 1.1.1.35,1.1.1.35,,,
enz_ec_3_7_1_3,EC 3.7.1.3,3.7.1.3,,,
enz_ec_4_1_1_40,EC 4.1.1.40,4.1.1.40,,,
enz_ec_4_1_1_43,EC 4.1.1.43,4.1.1.43,,,
enz_ec_4_1_1_74,EC 4.1.1.74,4.1.1.74,,,
enz_ec_4_1_1_79,EC 4.1.1.79,4.1.1.79,,,
enz_ec_4_1_1_80,EC 4.1.1.80,4.1.1.80,,,
enz_ec_4_1_4_3,EC 4.1.4.3,4.1.4.3,,,
enz_ec_4_4_1_1,EC 4.4.1.1,4.4.1.1,,,
enz_ec_2_7_1_39,EC 2.7.1.39,2.7.1.39,,,
enz_ec_2_5_1_44,EC 2.5.1.44,2.5.1.44,,,
enz_ec_2_7_1_35,EC 2.7.1.35,2.7.1.35,,,
enz_ec_3_1_3_74,EC 3.1.3.74,3.1.3.74,,,
enz_ec_1_14_13_8,EC 1.14.13.8,1.14.13.8,,,
enz_ec_1_8_1_3,EC 1.8.1.3,1.8.1.3,,,
enz_ec_5_4_4_2,EC 5.4.4.2,5.4.4.2,,,
enz_ec_5_4_99_6,EC 5.4.99.6,5.4.99.6,,,
enz_ec_4_1_1_85,EC 4.1.1.85,4.1.1.85,,,
enz_ec_2_6_1_7,EC 2.6.1.7,2.6.1.7,,,
enz_ec_2_6_1_63,EC 2.6.1.63,2.6.1.63,,,
enz_ec_1_1_1_156,EC 1.1.1.156,1.1.1.156,,,
enz_ec_1_1_1_2,EC 1.1.1.2,1.1.1.2,,,
enz_ec_1_1_1_283,EC 1.1.1.283,1.1.1.283,,,
enz_ec_1_1_1_6,EC 1.1.1.6,1.1.1.6,,,
enz_ec_1_1_1_72,EC 1.1.1.72,1.1.1.72,,,
enz_ec_1_1_1_78,EC 1.1.1.78,1.1.1.78,,,
enz_ec_1_2_1_49,EC 1.2.1.49,1.2.1.49,,,
enz_ec_1_2_1_23,EC 1.2.1.23,1.2.1.23,,,
enz_ec_4_1_1_122,EC 4.1.1.122,4.1.1.122,,,
enz_ec_4_1_1_15,EC 4.1.1.15,4.1.1.15,,,
enz_ec_4_1_1_29,EC 4.1.1.29,4.1.1.29,,,
enz_ec_1_1_1_1,EC 1.1.1.1,1.1.1.1,,,
enz_ec_1_1_1_272,EC 1.1.1.272,1.1.1.272,,,
enz_ec_1_1_1_40,EC 1.1.1.40,1.1.1.40,,,
enz_ec_1_1_2_3,EC 1.1.2.3,1.1.2.3,,,
enz_ec_1_1_2_4,EC 1.1.2.4,1.1.2.4,,,
enz_ec_1_1_3_2,EC 1.1.3.2,1.1.3.2,,,
enz_ec_1_1_99_40,EC 1.1.99.40,1.1.99.40,,,
enz_ec_1_1_99_7,EC 1.1.99.7,1.1.99.7,,,
enz_ec_2_3_1_21,EC 2.3.1.21,2.3.1.21,,,
enz_ec_3_1_1_5,EC 3.1.1.5,3.1.1.5,,,
enz_ec_1_1_1_103,EC 1.1.1.103,1.1.1.103,,,
enz_ec_1_1_1_105,EC 1.1.1.105,1.1.1.105,,,
enz_ec_1_1_1_126,EC 1.1.1.126,1.1.1.126,,,
enz_ec_1_1_1_161,EC 1.1.1.161,1.1.1.161,,,
enz_ec_1_1_1_177,EC 1.1.1.177,1.1.1.177,,,
enz_ec_1_1_1_183,EC 1.1.1.183,1.1.1.183,,,
enz_ec_1_1_1_184,EC 1.1.1.184,1.1.1.184,,,
enz_ec_1_1_1_19,EC 1.1.1.19,1.1.1.19,,,
enz_ec_1_1_1_194,EC 1.1.1.194,1.1.1.194,,,
enz_ec_1_1_1_195,EC 1.1.1.195,1.1.1.195,,,
enz_ec_1_1_1_216,EC 1.1.1.216,1.1.1.216,,,
enz_ec_1_1_1_23,EC 1.1.1.23,1.1.1.23,,,
enz_ec_1_1_1_273,EC 1.1.1.273,1.1.1.273,,,
enz_ec_1_1_1_276,EC 1.1.1.276,1.1.1.276,,,
enz_ec_1_1_1_300,EC 1.1.1.300,1.1.1.300,,,
enz_ec_1_1_1_315,EC 1.1.1.315,1.1.1.315,,,
enz_ec_1_1_1_317,EC 1.1.1.317,1.1.1.317,,,
enz_ec_1_1_1_324,EC 1.1.1.324,1.1.1.324,,,
enz_ec_1_1_1_347,EC 1.1.1.347,1.1.1.347,,,
enz_ec_1_1_1_354,EC 1.1.1.354,1.1.1.354,,,
enz_ec_1_1_1_365,EC 1.1.1.365,1.1.1.365,,,
enz_ec_1_1_1_373,EC 1.1.1.373,1.1.1.373,,,
enz_ec_1_1_1_405,EC 1.1.1.405,1.1.1.405,,,
enz_ec_1_1_1_54,EC 1.1.1.54,1.1.1.54,,,
enz_ec_1_1_1_55,EC 1.1.1.55,1.1.1.55,,,
enz_ec_1_1_1_60,EC 1.1.1.60,1.1.1.60,,,
enz_ec_1_1_1_71,EC 1.1.1.71,1.1.1.71,,,
enz_ec_1_1_1_77,EC 1.1.1.77,1.1.1.77,,,
enz_ec_1_1_3_39,EC 1.1.3.39,1.1.3.39,,,
enz_ec_1_1_3_43,EC 1.1.3.43,1.1.3.43,,,
enz_ec_1_1_3_44,EC 1.1.3.44,1.1.3.44,,,
enz_ec_1_1_3_48,EC 1.1.3.48,1.1.3.48,,,
enz_ec_1_1_3_7,EC 1.1.3.7,1.1.3.7,,,
enz_ec_1_1_3_9,EC 1.1.3.9,1.1.3.9,,,
enz_ec_1_1_99_36,EC 1.1.99.36,1.1.99.36,,,
enz_ec_1_11_1_7,EC 1.11.1.7,1.11.1.7,,,
enz_ec_1_14_13_15,EC 1.14.13.15,1.14.13.15,,,
enz_ec_1_14_13_72,EC 1.14.13.72,1.14.13.72,,,
enz_ec_1_14_14_1,EC 1.14.14.1,1.14.14.1,,,
enz_ec_1_14_15_15,EC 1.14.15.15,1.14.15.15,,,
enz_ec_1_3_1_20,EC 1.3.1.20,1.3.1.20,,,
enz_ec_2_7_1_177,EC 2.7.1.177,2.7.1.177,,,
enz_ec_1_1_1_38,EC 1.1.1.38,1.1.1.38,,,
enz_ec_1_1_1_39,EC 1.1.1.39,1.1.1.39,,,
enz_ec_1_1_1_42,EC 1.1.1.42,1.1.1.42,,,
enz_ec_1_1_1_83,EC 1.1.1.83,1.1.1.83,,,
enz_ec_2_1_1_246,EC 2.1.1.246,2.1.1.246,,,
enz_ec_2_1_1_90,EC 2.1.1.90,2.1.1.90,,,
enz_ec_1_1_1_299,EC 1.1.1.299,1.1.1.299,,,
enz_ec_1_1_1_37,EC 1.1.1.37,1.1.1.37,,,
enz_ec_1_1_1_82,EC 1.1.1.82,1.1.1.82,,,
enz_ec_1_1_3_3,EC 1.1.3.3,1.1.3.3,,,
enz_ec_1_1_5_4,EC 1.1.5.4,1.1.5.4,,,
enz_ec_1_1_99_16,EC 1.1.99.16,1.1.99.16,,,
