id,name,ec,source,smarts,ec_list,score,datasets,radius,is_balanced
rr_MNXR100060,RetroRules reaction MNXR100060,1.2.1,retrorules,[O;H0:1]=[C;H1:2]-[C;H2:3]-[O;H1:4]>>[O;H0]=[C;H0:2](-[O;H1:1])-[C;H2:3]-[O;H1:4],1.2.1;1.2.1.19;1.2.1.21;1.2.1.3;1.2.1.4;1.2.1.5;1.2.1.69,1.0,metanetx,10,B
rr_MNXR100064,RetroRules reaction MNXR100064,2.1.2.10,retrorules,[S;H1:1]-[C;H2:2]-[C;H2:3]-[C;H1:4](-[S;H1:5])-[C;H2:6]-[C;H2:7]-[C;H2:8]>>[N;H2]-[C;H2]-[S;H0:1]-[C;H2:2]-[C;H2:3]-[C;H1:4](-[S;H1:5])-[C;H2:6]-[C;H2:7]-[C;H2:8],2.1.2.10,0.2260478138923645,metanetx,6,B
rr_MNXR100066,RetroRules reaction MNXR100066,1.6.2.6,retrorules,[C;H2:1]-[C;H2:2]-[C;H1:3](-[S;H1:4])-[C;H2:5]-[C;H2:6]-[S;H1:7]>>[C;H2:1]-[C;H2:2]-[C;H1:3]1-[S;H0:4]-[S;H0:7]-[C;H2:6]-[C;H2:5]-1,1.6.2.6;1.8.1;1.8.1.4,0.45180100202560425,metanetx,3,B
rr_MNXR100083,RetroRules reaction MNXR100083,1.2.1.3,retrorules,[N;H1:1]=[C;H0:2](-[N;H2:3])-[N;H1:4]-[C;H2:5]-[C;H2:6]-[C;H2:7]-[C;H1:8]=[O;H0:9]>>[O;H1]-[C;H0:8](-[C;H2:7]-[C;H2:6]-[C;H2:5]-[N;H1:4]-[C;H0:2](=[N;H1:1])-[N;H2:3])=[O;H0:9],1.2.1.3;1.2.1.54,0.8408964276313782,metanetx,10,B
rr_MNXR100114,RetroRules reaction MNXR100114,3.5.1.94,retrorules,[N;H2:1]-[C;H2:2]-[C;H2:3]-[C;H2:4]-[C;H0:5]>>[N;H2]-[C;H1](-[C;H2]-[C;H2]-[C;H0](=[O;H0])-[N;H1:1]-[C;H2:2]-[C;H2:3]-[C;H2:4]-[C;H0:5])-[C;H0](=[O;H0])-[O;H1],3.5.1.94,1.0,metanetx,4,B
rr_MNXR100283,RetroRules reaction MNXR100283,2.7.1.1,retrorules,[P;H0:1](=[O;H0:2])(-[O;H1:3])(-[O;H1:4])-[O;H0:5]-[C;H2:6]-[C;H1:7]1-[O;H0:8]-[C;H1:9](-[O;H1:10])-[C;H1:11](-[O;H1:12])-[C;H1:13](-[O;H1:14])-[C;H1:15]-1-[O;H1:16]>>[N;H2]-[c;H0]1:[n;H0]:[c;H1]:[n;H0]:[c;H0]2:[c;H0]:1:[n;H0]:[c;H1]:[n;H0]:2-[C;H1]1-[O;H0]-[C;H1](-[C;H2]-[O;H0]-[P;H0](=[O;H0])(-[O;H1])-[O;H0]-[P;H0](=[O;H0])(-[O;H1])-[O;H0]-[P;H0:1](=[O;H0:2])(-[O;H1:3])-[O;H1:4])-[C;H1](-[O;H1])-[C;H1]-1-[O;H1].[O;H1:5]-[C;H2:6]-[C;H1:7]1-[O;H0:8]-[C;H1:9](-[O;H1:10])-[C;H1:11](-[O;H1:12])-[C;H1:13](-[O;H1:14])-[C;H1:15]-1-[O;H1:16],2.7.1.1;2.7.1.15;2.7.1.2,0.330316424369812,metanetx,10,B
rr_MNXR100310,RetroRules reaction MNXR100310,1.2.1.19,retrorules,[O;H0:1]=[C;H1:2]-[C;H1:3](-[O;H1:4])-[C;H2:5]-[O;H1:6]>>[O;H1]-[C;H0:2](=[O;H0:1])-[C;H1:3](-[O;H1:4])-[C;H2:5]-[O;H1:6],1.2.1.19;1.2.1.22;1.2.1.3;1.2.1.4;1.2.1.5;1.2.1.89,1.0,metanetx,10,B
rr_MNXR100325,RetroRules reaction MNXR100325,1.1,retrorules,[O;H0:1]=[C;H0:2](-[O;H1:3])-[C;H1:4](-[O;H1:5])-[C;H2:6]-[O;H1:7]>>[O;H0:1]=[C;H0:2](-[O;H1:3])-[C;H0:4](=[O;H0:5])-[C;H2:6]-[O;H1:7],1.1;1.1.1;1.1.1.26;1.1.1.27;1.1.1.28;1.1.1.29;1.1.1.291;1.1.1.387;1.1.1.79;1.1.1.81;1.1.1.86,0.4924790561199188,metanetx,10,B
rr_MNXR100328,RetroRules reaction MNXR100328,2.7.1.31,retrorules,[O;H0:1]=[C;H0:2](-[O;H1:3])-[C;H1:4](-[O;H1:5])-[C;H2:6]-[O;H1:7]>>[O;H0]=[P;H0](-[O;H1])(-[O;H1])-[O;H0:7]-[C;H2:6]-[C;H1:4](-[C;H0:2](=[O;H0:1])-[O;H1:3])-[O;H1:5],2.7.1.31,0.5623413324356079,metanetx,10,B
rr_MNXR100329,RetroRules reaction MNXR100329,2.7.1,retrorules,[O;H0:1]=[C;H0:2](-[O;H1:3])-[C;H1:4](-[C;H2:5]-[O;H1:6])-[O;H1:7]>>[O;H0]=[P;H0](-[O;H1])(-[O;H1])-[O;H0:7]-[C;H1:4](-[C;H0:2](=[O;H0:1])-[O;H1:3])-[C;H2:5]-[O;H1:6],2.7.1;2.7.1.165;2.7.1.31;3.1.3.2;3.1.3.20,0.6687403321266174,metanetx,10,B
